run_id,timestamp,label,mysql_numa_profile,iteration,status,tps,qps,threads,time_s,tables,table_size,mysql_host,mysql_port
20260113_143038,2026-01-13 14:30:38,node0_mem0,node0_mem0,1,ok,2818.03,56360.59,32,60,16,1000000,192.168.1.231,3306
20260113_143038,2026-01-13 14:31:39,node0_mem0,node0_mem0,2,ok,2804.42,56088.31,32,60,16,1000000,192.168.1.231,3306
20260113_143038,2026-01-13 14:32:39,node0_mem0,node0_mem0,3,ok,2809.68,56193.58,32,60,16,1000000,192.168.1.231,3306
20260113_143532,2026-01-13 14:35:32,node0_mem0,node0_mem0,1,ok,2808.30,56166.02,32,60,16,1000000,192.168.1.231,3306
20260113_143532,2026-01-13 14:36:32,node0_mem0,node0_mem0,2,ok,2789.90,55798.01,32,60,16,1000000,192.168.1.231,3306
20260113_143532,2026-01-13 14:37:33,node0_mem0,node0_mem0,3,ok,2808.01,56160.10,32,60,16,1000000,192.168.1.231,3306
20260113_143532,2026-01-13 14:38:34,node0_mem0,node0_mem0,4,ok,2802.98,56059.69,32,60,16,1000000,192.168.1.231,3306
20260113_143532,2026-01-13 14:39:34,node0_mem0,node0_mem0,5,ok,2803.21,56064.17,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:42:54,node0_mem1,node0_mem1,1,ok,2811.29,56225.83,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:43:55,node0_mem1,node0_mem1,2,ok,2814.44,56288.85,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:44:55,node0_mem1,node0_mem1,3,ok,2808.35,56167.08,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:45:56,node0_mem1,node0_mem1,4,ok,2798.87,55977.47,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:46:56,node0_mem1,node0_mem1,5,ok,2811.98,56239.66,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:47:57,node0_mem1,node0_mem1,6,ok,2806.65,56132.91,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:48:58,node0_mem1,node0_mem1,7,ok,2805.45,56108.91,32,60,16,1000000,192.168.1.231,3306
20260113_144254,2026-01-13 14:49:58,node0_mem1,node0_mem1,8,ok,2804.80,56095.91,32,60,16,1000000,192.168.1.231,3306
