run_id,timestamp,numa_profile,workload,status,tps,qps,threads,time_s,tables,table_size,important
20260105_214050,2026-01-05 21:40:50,node1_mem0,select_random_points,ok,(43840.59,(43840.59,32,60,16,1000000,0
20260105_214050,2026-01-05 21:41:50,node1_mem0,select_random_ranges,ok,(28977.80,(28977.80,32,60,16,1000000,0
20260105_214050,2026-01-05 21:42:51,node1_mem0,oltp_multi_selects,missing,NA,NA,32,60,16,1000000,0
20260105_214050,2026-01-05 21:42:52,node1_mem0,oltp_point_select,ok,(96661.13,(96661.13,32,60,16,1000000,0
20260105_214050,2026-01-05 21:43:53,node1_mem0,oltp_read_only,ok,(4981.74,(79707.81,32,60,16,1000000,0
20260105_214050,2026-01-05 21:44:54,node1_mem0,oltp_read_write,ok,(3088.00,(61759.99,32,60,16,1000000,1
20260105_214050,2026-01-05 21:45:55,node1_mem0,oltp_update_index,ok,(8705.92,(8705.92,32,60,16,1000000,0
20260105_214050,2026-01-05 21:46:55,node1_mem0,oltp_update_non_index,ok,(9173.85,(9173.85,32,60,16,1000000,0
20260105_214050,2026-01-05 21:47:56,node1_mem0,oltp_write_only,ok,(4908.66,(29451.94,32,60,16,1000000,0
20260105_214939,2026-01-05 21:49:39,node0_mem0,select_random_points,ok,(37994.70,(37994.70,32,60,16,1000000,0
20260105_214939,2026-01-05 21:50:40,node0_mem0,select_random_ranges,ok,(28041.86,(28041.86,32,60,16,1000000,0
20260105_214939,2026-01-05 21:51:41,node0_mem0,oltp_multi_selects,missing,NA,NA,32,60,16,1000000,0
20260105_214939,2026-01-05 21:51:42,node0_mem0,oltp_point_select,ok,(79471.58,(79471.58,32,60,16,1000000,0
20260105_214939,2026-01-05 21:52:43,node0_mem0,oltp_read_only,ok,(4130.53,(66088.41,32,60,16,1000000,0
20260105_214939,2026-01-05 21:53:44,node0_mem0,oltp_read_write,ok,(2573.38,(51467.61,32,60,16,1000000,1
20260105_214939,2026-01-05 21:54:45,node0_mem0,oltp_update_index,ok,(8885.98,(8885.98,32,60,16,1000000,0
20260105_214939,2026-01-05 21:55:45,node0_mem0,oltp_update_non_index,ok,(9184.50,(9184.50,32,60,16,1000000,0
20260105_214939,2026-01-05 21:56:46,node0_mem0,oltp_write_only,ok,(4919.30,(29515.82,32,60,16,1000000,0
第一次不成熟的测试
